snp-dists 0.8.2	Met4847	Met4853	Met4860	Met4861	Met4873	Met4880	Met5664	Met5668	Met5673	Met5678	Met5680	Met5682	Met5694	Met5696	Met5700	Met5701	Met5709	Met5712	Met5722	Met5723	Met5727	Met5734	Met5737	Met5739	Met5740	Met5742	Met5746	Met5749	Met5750	Met5752	Met5753	Met5754	Met5755	Met5762	Met5763	Met5764	Met5766	Met5769	Met5776	Met5778	Met5781	Met5782	Met5787	Met5788	Met5789	Met5796	Met5798	Met5799	Met5800	Met5801	Met5804	Met5805	Met5806	Met6291	Met7489	Met7502	Met7520	Met7521	Met7522	Met7523	Met7524	Met7526	Met8572	Met8574	Met8578	Met8579	Met8580	Met8583	Met8586	Met8592	Met8596	Met8597	Met8602	Met8603	Met8605	Met8610	Met8611	Met8612	Met8616	Met8623	Met8625	Met8626	Met8638	Met8639	Met8641	Met8644	Met8646	Met8649	Met8650	Met8651	Met8653	Met8654	Met8655	Met8661	Met8662	Met8665	Met8699	Met8703	Met8721	Met8727	Met8730	Met8732	Reference
Met5800	4934	736	322	67	13157	11976	12042	6482	6459	5782	4826	35	22	14	12694	12	12476	6728	4492	19	17	4981	6888	6622	4055	13574	15	14	20	5334	5722	13376	4811	23	12539	12769	11636	11238	1390	10664	3260	3682	7	6	12779	13146	11166	3	0	13728	10	13526	20	7730	34	10001	6608	9855	12209	6862	12768	12629	373	12407	4006	3920	5369	6495	13580	57	13330	1157	5418	5176	6367	11402	7792	6378	5029	665	6710	5414	13	10	12810	13733	13680	15	10	5825	8782	4417	12424	19	13288	12312	6429	12589	9463	6500	12783	9905	13651
Met5801	6006	5057	1751	10	13975	13189	13037	6553	7012	6842	4925	11798	12147	6593	13248	6899	33	7116	5340	6401	4094	5724	7621	6832	4404	19	5990	5661	6557	1483	3208	8	47	5427	13641	13701	13635	11534	7275	12012	288	20	13748	13704	13523	13582	11358	5583	13728	0	13725	24	7438	8464	5968	11641	6071	10405	13266	6	13038	13323	4985	13430	12	286	13	16	22	6973	14045	8277	5991	5696	6780	12631	8871	6805	514	4983	6618	7610	13561	13541	24	0	0	8448	6344	7846	10628	4782	13613	10336	13944	12778	6693	13538	6	7117	13728	10561	266
Met5804	4956	762	311	95	13228	11986	12070	6531	6475	5821	4869	33	23	16	12728	23	12479	6769	4527	25	36	4997	6882	6655	4067	13568	12	33	26	5349	5740	13370	4821	36	12536	12765	11627	11229	1404	10656	3277	3700	10	8	12829	13149	11159	11	10	13725	0	13526	23	7755	39	10045	6643	9879	12251	6874	12762	12678	394	12414	4029	3921	5383	6503	13566	88	13398	1217	5453	5206	6389	11396	7799	6413	5076	665	6698	5428	3	2	12808	13729	13677	13	13	5853	8832	4435	12396	17	13341	12346	6484	12599	9463	6541	12836	9943	13655
Met5805	5857	4909	1690	12	13694	12975	12891	6434	6814	6677	4833	11738	11948	6437	13017	6739	24	7010	5197	6233	3949	5593	7448	6648	4307	22	5859	5495	6391	1465	3171	22	56	5291	13429	13525	13472	11451	7135	11885	276	16	13548	13508	13288	13371	11217	5457	13526	24	13526	0	7250	8320	5854	11432	5969	10259	13023	15	12848	13123	4860	13249	8	278	8	8	16	6795	13766	8040	5910	5663	6689	12541	8728	6733	514	4873	6453	7462	13387	13362	4	24	24	8288	6198	7666	10386	4687	13440	10213	13706	12602	6596	13329	13	6977	13473	10403	252
Met5806	707	99	98	11	870	5794	6009	532	2203	457	432	12	17	10	805	9	6544	570	467	21	15	732	2458	556	499	7288	12	21	42	1606	1828	7155	1287	15	6543	6781	6173	717	148	5314	648	804	33	32	849	6935	5508	11	20	7438	23	7250	0	592	17	684	541	611	808	2418	6708	817	70	6245	951	892	1070	2207	7285	23	930	158	942	442	513	5824	1852	504	499	178	2360	1740	21	27	6769	7436	7340	15	13	750	643	456	6608	7	887	767	2134	6697	4249	523	878	641	7274
Met6291	245	19	707	59	19	6061	6835	19	2921	14	20	6224	5076	26	56	21	7548	64	303	2356	14	175	1466	13	92	8343	1138	1505	2721	2183	2418	8200	1709	20	7657	7830	7067	64	21	6297	812	901	7756	7731	32	7733	6154	20	7730	8464	7755	8320	592	0	36	20	28	62	29	3096	7540	29	15	6688	1447	1224	1069	2933	8350	15	16	19	601	52	19	6848	1584	25	9	1127	2970	2658	7570	7657	7785	8461	8375	1395	1501	581	22	154	2273	3487	30	52	2864	7757	5014	19	39	41	8337
Met7489	174	10	84	12	72	4546	4786	20	1278	12	18	14	19	13	62	6	5200	44	72	21	13	178	1234	21	78	5866	9	34	31	939	1086	5745	736	6	5218	5341	4885	33	23	4210	262	359	36	32	41	5527	4409	6	34	5968	39	5854	17	36	0	42	33	49	50	1655	5390	55	5	4946	473	451	516	1451	5867	4	97	45	374	28	33	4668	1178	38	27	88	1460	1096	29	28	5471	5967	5878	4	6	259	48	84	3524	13	50	49	1287	5293	3315	21	62	39	5847
Met7502	508	15	1172	96	10	6709	7247	11	4684	6	11	8055	6177	18	44	13	10492	62	399	3756	5	504	4627	12	206	11477	2262	2723	4344	3558	3792	11305	2807	9	10122	10448	9283	63	20	8385	2072	2394	10050	10019	26	9096	7244	18	10001	11641	10045	11432	684	20	42	0	34	77	16	4950	8834	25	9	7446	2611	2163	1787	4946	11488	8	15	15	538	35	15	9052	1928	15	6	1773	4316	3714	9782	9942	10755	11640	11549	1735	2103	766	13	188	9984	4250	26	56	4576	10325	7170	8	33	39	11498
Met7520	282	16	352	23	38	4188	5895	18	1372	17	15	5326	4426	26	51	22	5389	57	146	1019	15	340	2141	19	113	5987	1196	769	1185	842	916	5839	757	16	6559	6704	6061	71	27	5314	550	846	6647	6634	41	5184	4130	13	6608	6071	6643	5969	541	28	33	34	0	54	33	1869	5048	37	16	4496	677	554	698	2025	5997	19	41	22	280	32	20	5858	1452	20	3	508	1149	1255	6477	6571	5570	6071	6017	965	1042	489	30	102	6502	3089	40	49	1253	6633	3422	20	53	44	6011
Met7521	573	24	1240	58	80	6595	8617	41	4654	38	30	8142	6146	47	95	42	9454	63	437	3905	25	564	4656	41	235	10292	2687	2846	4416	3450	3716	10123	2682	34	9800	9946	8927	118	57	8213	2154	2479	9891	9863	75	8836	7082	42	9855	10405	9879	10259	611	62	49	77	54	0	72	4594	8745	76	24	7290	2635	2207	1638	4682	10291	40	95	50	786	59	47	8940	1819	46	8	1823	4347	3756	9661	9772	9677	10404	10313	1885	2278	713	56	197	9764	4195	74	96	4546	9860	6620	50	101	85	10279
Met7522	730	10	1624	107	8	8099	10551	5	5925	6	11	9839	7482	29	34	9	12095	76	501	5040	7	675	6049	20	288	13086	3435	3744	5710	4675	4969	12911	3695	12	12012	12321	11103	74	23	10109	2969	3391	12260	12226	18	11116	8850	17	12209	13266	12251	13023	808	29	50	16	33	72	0	6295	10814	11	9	8988	3640	2922	2253	6157	13096	10	37	11	873	55	24	10871	2258	16	4	2382	5633	4833	11946	12119	12298	13268	13161	2262	2921	930	7	276	11865	5135	14	43	5851	12204	8526	13	39	48	13117
Met7523	69	64	116	1	6929	61	6203	1879	2084	2032	1109	5660	5712	1911	6543	2069	12	2180	1161	1737	131	135	602	156	267	11	1517	1101	1932	6	32	1	4	1047	6825	6954	6792	5746	2373	5283	14	3	6892	6858	6694	38	3	1312	6862	6	6874	15	2418	3096	1655	4950	1869	4594	6295	0	2	6474	54	84	3	75	5	6	13	2117	7003	2904	1597	1242	2072	5992	3316	2091	61	29	136	51	6746	6756	15	6	8	1757	78	84	3578	45	6628	4477	6948	6330	2061	6783	2	2212	6759	4330	108
Met7524	29	13	1047	3652	12973	69	11621	6204	6497	5992	4510	10955	10636	5999	12459	6456	11887	6411	4533	5037	45	7	587	17	356	12870	4950	3253	6125	11	100	12363	208	3179	12762	12949	8723	11016	6604	8359	2984	3385	12798	12761	12035	27	65	4448	12768	13038	12762	12848	6708	7540	5390	8834	5048	8745	10814	2	0	11773	32	26	3685	3751	5157	6289	12900	6438	13043	7273	5069	3806	6311	10503	7621	6343	4591	9	37	14	12550	12647	11720	13036	12935	1840	30	41	3809	74	11828	9236	12983	12149	6350	12830	6183	6317	11571	7911	12900
Met7526	816	9	1720	123	15	8893	10927	9	6371	7	12	10296	7802	24	48	10	12162	71	624	5411	9	773	6480	23	333	13160	3632	4002	6112	4969	5373	12994	3858	15	12417	12664	11450	82	28	10562	3079	3490	12695	12662	22	12028	9634	17	12629	13323	12678	13123	817	29	55	25	37	76	11	6474	11773	0	6	9850	3732	3050	2296	6281	13171	11	42	12	1042	58	31	11341	2350	20	2	2650	6231	5387	12378	12547	12408	13324	13225	2574	3225	1025	9	295	12404	5349	19	41	6219	12557	8709	17	48	53	13167
Met8572	7	4	60	22	9	15	4087	21	979	16	20	270	223	7	21	9	4310	44	45	89	4	13	253	8	29	4881	79	30	130	15	45	4713	43	6	4543	4697	3995	16	9	3300	144	209	386	379	10	11	20	5	373	4985	394	4860	70	15	5	9	16	24	9	54	32	6	0	10	268	250	376	998	4876	6	41	9	317	24	35	3828	1031	30	13	10	12	7	350	374	4430	4984	4908	25	15	5	5	15	4534	177	20	26	946	4634	2144	9	24	18	4852
Met8574	10	10	1063	3757	11032	23	11231	5614	6232	5492	4266	10492	10238	5532	10567	5942	12291	5883	4297	4829	25	17	625	15	337	13261	4773	3091	5895	27	126	12742	242	2915	12409	12538	8255	9200	5967	8070	3106	3500	12434	12404	10126	7	57	4107	12407	13430	12414	13249	6245	6688	4946	7446	4496	7290	8988	84	26	9850	10	0	3842	3757	5354	6508	13281	5933	11105	6545	4832	3452	5823	10080	7150	5849	4664	10	13	6	12179	12311	12071	13432	13360	1388	9	5	2791	60	11288	8774	11055	10208	6154	12393	6394	5774	9668	6558	13338
Met8578	333	258	18	1	4006	3685	609	65	38	78	135	3210	3167	598	3778	685	12	316	31	120	133	471	960	683	77	11	171	88	149	17	23	9	7	207	101	3566	3526	3271	889	4	2	2	4035	4012	3875	3875	3078	176	4006	12	4029	8	951	1447	473	2611	677	2635	3640	3	3685	3732	268	3842	0	2	0	0	3	713	4062	1230	111	89	35	3	12	45	17	146	186	576	3930	3940	9	12	15	1061	596	979	2159	96	4018	2378	4016	3649	102	3448	3	171	3930	2565	107
Met8579	347	226	27	4	3196	3642	1822	64	42	49	53	3246	3113	566	3035	630	240	415	9	78	101	446	937	632	127	278	295	16	89	17	35	272	15	240	167	3501	3435	2735	817	69	2	3	3933	3915	3095	3840	3128	120	3920	286	3921	278	892	1224	451	2163	554	2207	2922	75	3751	3050	250	3757	2	0	3	3	272	638	3231	1019	65	179	33	73	41	35	9	124	123	536	3871	3868	265	286	282	986	588	876	1797	164	3979	2347	3201	3004	25	3441	142	121	3139	2106	341
Met8580	707	387	52	3	2471	5124	5030	642	103	61	436	4324	4255	630	2279	684	13	828	62	1090	301	784	1704	720	354	13	889	121	1240	295	638	11	13	405	128	4802	4777	1959	769	6	2	2	5394	5370	2388	5423	4286	325	5369	13	5383	8	1070	1069	516	1787	698	1638	2253	5	5157	2296	376	5354	0	3	0	1	3	716	2543	1001	919	466	51	3	19	67	51	623	1357	1632	5265	5282	10	13	15	1615	1110	1234	1540	377	5436	3117	2494	2181	191	4641	4	139	2423	1612	115
Met8583	1431	1004	106	4	6644	6292	6207	1758	75	123	1000	5376	5380	1733	6303	1864	14	2076	68	1579	662	1347	2350	1882	759	14	1424	97	1720	417	910	12	17	1115	98	5772	5753	5500	2171	3	2	2	6526	6499	6465	6583	5320	837	6495	16	6503	8	2207	2933	1451	4946	2025	4682	6157	6	6289	6281	998	6508	0	3	1	0	3	1895	6712	2664	1492	1312	70	2	21	75	118	1035	1906	2379	6391	6409	10	17	17	2605	1659	2383	4166	981	6559	4234	6659	6109	163	5643	4	303	6542	4569	116
Met8586	5858	4924	1698	11	13772	13030	12912	6461	6854	6703	4849	11741	11990	6473	13083	6784	23	7023	5232	6266	3964	5595	7476	6679	4310	20	5877	5509	6425	1471	3181	20	56	5322	13482	13586	13523	11470	7162	11913	272	9	13604	13561	13358	13423	11256	5468	13580	22	13566	16	7285	8350	5867	11488	5997	10291	13096	13	12900	13171	4876	13281	3	272	3	3	0	6832	13846	8108	5937	5670	6707	12558	8765	6752	507	4892	6496	7498	13428	13407	15	22	22	8324	6223	7686	10444	4700	13470	10239	13777	12640	6625	13391	12	7003	13538	10426	253
Met8592	354	10	103	49	8	5443	5790	16	1901	4	20	38	48	5	25	6	6125	50	125	59	5	345	2185	22	149	6825	41	90	103	1350	1558	6712	1011	5	6260	6490	5926	44	13	5067	457	580	76	76	10	6677	5249	2	57	6973	88	6795	23	15	4	8	19	40	10	2117	6438	11	6	5933	713	638	716	1895	6832	0	12	8	520	36	36	5551	1416	25	11	190	2084	1549	54	68	6339	6975	6867	16	30	373	14	99	6270	30	7	29	1898	6402	3904	8	29	22	6823
Met8596	1004	53	1870	232	14	10102	11525	26	6868	21	46	10769	8222	62	69	38	12835	126	741	5830	47	971	7119	14	383	13826	3926	4343	6566	5377	5824	13689	4156	32	13127	13409	12183	119	29	11177	3340	3764	13418	13381	27	13453	10638	50	13330	14045	13398	13766	930	16	97	15	41	95	37	7003	13043	42	41	11105	4062	3231	2543	6712	13846	12	0	22	1129	85	67	11922	2556	50	18	2940	6878	5979	13063	13255	13014	14049	13942	2952	3602	1269	28	367	13053	5657	24	72	6711	13260	9162	33	41	55	13875
Met8597	446	10	372	75	6	6015	6483	19	2644	8	22	912	665	10	39	8	7341	83	191	706	6	429	2835	21	190	8094	456	604	840	1951	2173	7993	1495	10	7113	7335	6656	79	18	5806	901	1070	1219	1213	10	7539	5919	10	1157	8277	1217	8040	158	19	45	15	22	50	11	2904	7273	12	9	6545	1230	1019	1001	2664	8108	8	22	0	583	54	49	6318	1596	30	14	510	2756	2100	1135	1195	7523	8279	8171	272	423	487	13	129	7179	507	1	29	2528	7236	4801	18	31	31	8096
Met8602	185	222	192	75	1095	4598	26	12	232	294	1	4355	3927	424	1075	521	5045	7	18	130	20	581	1553	534	15	5924	90	160	136	79	72	5798	335	83	5340	5452	4895	970	502	4243	64	85	5458	5438	1015	5254	4224	175	5418	5991	5453	5910	942	601	374	538	280	786	873	1597	5069	1042	317	4832	111	65	919	1492	5937	520	1129	583	0	7	547	4674	1649	550	41	154	226	577	5290	5370	5524	5994	5973	1037	954	889	630	36	5214	2936	1114	1033	135	5334	3348	531	992	776	5925
Met8603	51	11	170	24	60	3240	23	24	727	26	12	4122	3569	34	73	32	4873	12	63	444	12	217	1235	30	9	5670	44	259	607	402	432	5486	420	19	5134	5261	4665	86	36	4019	25	31	5207	5188	65	3945	3167	18	5176	5696	5206	5663	442	52	28	35	32	59	55	1242	3806	58	24	3452	89	179	466	1312	5670	36	85	54	7	0	45	4488	1171	48	22	233	546	650	5062	5121	5273	5693	5700	622	587	364	46	25	5054	2529	79	63	683	5186	3034	36	78	44	5648
Met8605	322	36	200	82	37	5395	5763	36	35	4	37	5086	4360	40	38	46	6006	112	7	1306	39	400	2197	48	126	6696	1035	15	1733	1303	1549	6543	1002	22	89	5761	5248	34	16	3	26	26	6394	6380	30	6559	5183	11	6367	6780	6389	6689	513	19	33	15	20	47	24	2072	6311	31	35	5823	35	33	51	70	6707	36	67	49	547	45	0	3	4	2	44	710	2032	1908	6211	6330	6253	6779	6740	1172	1145	570	49	108	6252	3001	53	35	68	5680	3798	2	49	21	6697
Met8610	4029	3765	1179	3375	11853	9698	11061	5358	20	25	4170	9872	9456	5226	11385	5552	11547	5920	5	4616	3035	4217	5894	5443	3390	12545	4446	6	5405	4622	4977	12306	4209	3835	145	10366	9313	10166	5745	8	7	3	11415	11387	11394	10744	9178	1561	11402	12631	11396	12541	5824	6848	4668	9052	5858	8940	10871	5992	10503	11341	3828	10080	3	73	3	2	12558	5551	11922	6318	4674	4488	3	0	4	2	4411	3812	5640	5639	11170	11312	11876	12629	12590	5295	4544	5565	7797	3908	11441	8182	11884	11167	135	10299	8448	220	11436	8912	12540
Met8611	1321	1007	478	1082	2503	6724	7162	1338	23	16	1128	6357	5717	1320	2379	1416	7944	1532	7	2213	861	1433	3262	1410	1015	8761	1971	8	2745	2278	2546	8606	1952	1023	112	7090	6355	1996	1381	7	13	9	7808	7789	2384	7911	6358	368	7792	8871	7799	8728	1852	1584	1178	1928	1452	1819	2258	3316	7621	2350	1031	7150	12	41	19	21	8765	1416	2556	1596	1649	1171	4	4	0	5	1323	1593	3046	2948	7603	7717	8179	8869	8833	2219	2093	1874	1774	1101	7643	4337	2536	2254	85	6992	5320	96	2400	1875	8792
Met8612	312	33	201	86	21	5410	5758	37	40	5	44	5090	4365	35	38	31	6042	98	14	1308	32	395	2200	42	125	6745	1046	21	1742	1299	1559	6573	1014	20	91	5779	5256	34	18	4	37	38	6411	6398	31	6581	5204	10	6378	6805	6413	6733	504	25	38	15	20	46	16	2091	6343	20	30	5849	45	35	67	75	6752	25	50	30	550	48	2	2	5	0	47	712	2027	1909	6230	6350	6291	6805	6790	1181	1147	564	48	105	6274	3003	39	34	82	5696	3825	3	43	18	6743
Met8616	270	11	51	16	5	4457	4526	5	153	8	52	4007	3809	20	10	11	442	85	12	83	37	441	1382	9	115	490	657	141	98	18	24	492	17	9	4973	5061	4982	28	4	4053	48	42	5082	5050	8	4789	3732	17	5029	514	5076	514	499	9	27	6	3	8	4	61	4591	2	13	4664	17	9	51	118	507	11	18	14	41	22	44	4411	1323	47	0	101	143	557	4965	4995	474	512	518	1045	820	556	6	61	4932	2610	5	6	109	4971	238	8	23	10	606
Met8623	6	8	55	57	2887	27	4097	149	318	537	122	481	470	105	2751	174	4317	778	75	33	8	12	254	23	48	4893	128	31	44	5	23	4735	32	46	4540	4632	3886	2358	378	3304	83	210	679	669	2692	11	27	50	665	4983	665	4873	178	1127	88	1773	508	1823	2382	29	9	2650	10	10	146	124	623	1035	4892	190	2940	510	154	233	710	3812	1593	712	101	0	8	5	627	645	4441	4982	4915	53	2	8	900	18	4428	366	2901	2643	226	4581	2248	754	2689	1719	4868
Met8625	28	8	145	164	6816	31	5844	187	315	1639	163	5450	5223	1753	6460	2072	5781	2042	112	138	43	36	397	62	156	6494	1306	92	172	13	23	6318	60	651	6713	6739	5404	5634	2259	4752	172	563	6717	6687	6367	6	38	704	6710	6618	6698	6453	2360	2970	1460	4316	1149	4347	5633	136	37	6231	12	13	186	123	1357	1906	6496	2084	6878	2756	226	546	2032	5640	3046	2027	143	8	0	11	6538	6631	5891	6616	6513	907	14	19	2472	29	6403	4247	6790	6250	165	6628	3040	2140	6299	4072	6476
Met8626	15	4	196	379	5913	26	5997	620	905	1546	492	4397	4106	1254	5632	1532	6716	1992	440	405	10	10	379	13	147	7478	1220	261	529	11	38	7229	80	535	6807	6900	5293	4863	1754	4709	423	800	5442	5420	5499	1	36	598	5414	7610	5428	7462	1740	2658	1096	3714	1255	3756	4833	51	14	5387	7	6	576	536	1632	2379	7498	1549	5979	2100	577	650	1908	5639	2948	1909	557	5	11	0	5284	5371	6788	7609	7531	470	7	8	1868	36	6391	3270	5934	5460	837	6811	3481	1982	5400	3526	7493
Met8638	4817	708	303	32	12896	11752	11835	6352	6324	5636	4736	33	21	16	12425	13	12336	6581	4397	20	17	4875	6729	6474	3955	13423	10	26	18	5268	5645	13208	4754	22	12283	12228	11100	10992	1353	10445	3204	3610	12	12	12512	12911	10980	7	13	13561	3	13387	21	7570	29	9782	6477	9661	11946	6746	12550	12378	350	12179	3930	3871	5265	6391	13428	54	13063	1135	5290	5062	6211	11170	7603	6230	4965	627	6538	5284	0	2	12678	13557	13522	16	10	5689	8565	4325	12194	18	13009	12074	6312	12076	9345	6342	12513	9721	13493
Met8639	4885	737	308	52	13088	11870	11957	6457	6395	5747	4802	32	22	14	12616	17	12328	6685	4470	21	26	4940	6798	6586	4002	13390	10	28	18	5293	5691	13180	4763	34	12422	12611	11497	11144	1380	10583	3212	3613	10	9	12707	13026	11054	6	10	13541	2	13362	27	7657	28	9942	6571	9772	12119	6756	12647	12547	374	12311	3940	3868	5282	6409	13407	68	13255	1195	5370	5121	6330	11312	7717	6350	4995	645	6631	5371	2	0	12663	13539	13483	13	11	5781	8732	4384	12270	21	13200	12218	6399	12480	9348	6474	12739	9862	13455
Met8641	5358	4484	1560	12	12945	11815	12231	6012	6352	6233	4516	11102	11308	5992	12308	6281	22	6566	4829	5799	3620	5093	6808	6062	3941	21	5466	5069	5955	1323	2900	22	53	4893	12712	12759	12703	10895	6688	11221	250	15	12837	12794	12566	12169	10201	5046	12810	24	12808	4	6769	7785	5471	10755	5570	9677	12298	15	11720	12408	4430	12071	9	265	10	10	15	6339	13014	7523	5524	5273	6253	11876	8179	6291	474	4441	5891	6788	12678	12663	0	24	24	7674	5666	6972	9686	4313	12713	9624	12956	11943	6174	12589	14	6525	12766	9821	242
Met8644	6005	5057	1751	10	13977	13189	13038	6551	7013	6842	4926	11794	12145	6591	13250	6902	33	7117	5339	6400	4097	5730	7621	6832	4403	19	5987	5661	6560	1483	3207	8	49	5426	13639	13703	13637	11534	7273	12011	289	20	13753	13709	13526	13582	11356	5581	13733	0	13729	24	7436	8461	5967	11640	6071	10404	13268	6	13036	13324	4984	13432	12	286	13	17	22	6975	14049	8279	5994	5693	6779	12629	8869	6805	512	4982	6616	7609	13557	13539	24	0	0	8453	6344	7846	10630	4782	13612	10332	13946	12782	6693	13536	6	7117	13729	10561	267
Met8646	5918	4964	1703	11	13867	13102	12986	6481	6881	6735	4881	11785	12065	6498	13133	6815	22	7072	5255	6302	3996	5649	7541	6725	4345	20	5911	5563	6465	1475	3182	9	50	5352	13588	13716	13645	11474	7170	11971	295	23	13704	13661	13433	13511	11282	5510	13680	0	13677	24	7340	8375	5878	11549	6017	10313	13161	8	12935	13225	4908	13360	15	282	15	17	22	6867	13942	8171	5973	5700	6740	12590	8833	6790	518	4915	6513	7531	13522	13483	24	0	0	8386	6268	7749	10523	4709	13487	10292	13857	12669	6684	13480	8	7039	13617	10448	260
Met8649	190	52	102	48	2871	1162	5649	1052	2010	953	689	22	20	8	2785	7	7477	1234	577	9	5	168	1135	164	215	8332	3	23	12	860	893	8096	842	6	6267	6417	5244	2382	310	4595	677	881	17	11	2656	1891	1514	3	15	8448	13	8288	15	1395	4	1735	965	1885	2262	1757	1840	2574	25	1388	1061	986	1615	2605	8324	16	2952	272	1037	622	1172	5295	2219	1181	1045	53	907	470	16	13	7674	8453	8386	0	3	202	613	149	5985	17	2918	2625	2022	6322	4563	1174	2555	1695	8353
Met8650	13	12	72	35	3531	12	4945	1062	1453	964	633	12	14	11	3373	20	5536	1175	501	7	5	25	275	36	90	6234	1	20	9	14	46	6008	81	11	5488	5629	4505	2956	380	3861	321	439	16	13	3348	6	23	7	10	6344	13	6198	13	1501	6	2103	1042	2278	2921	78	30	3225	15	9	596	588	1110	1659	6223	30	3602	423	954	587	1145	4544	2093	1147	820	2	14	7	10	11	5666	6344	6268	3	0	7	912	23	5040	11	3570	3267	1464	5542	2881	1183	3219	2107	6221
Met8651	6	8	203	317	1219	14	5938	587	2171	489	428	4630	3964	321	1140	378	6936	673	491	1226	9	6	363	11	78	7694	1004	472	1732	23	68	7434	118	175	6784	6966	5347	922	374	4702	614	761	5849	5833	1069	3	29	236	5825	7846	5853	7666	750	581	259	766	489	713	930	84	41	1025	5	5	979	876	1234	2383	7686	373	1269	487	889	364	570	5565	1874	564	556	8	19	8	5689	5781	6972	7846	7749	202	7	0	314	26	6147	2802	1240	1037	2135	6857	3449	573	1035	686	7710
Met8653	265	10	817	114	2	2353	7710	13	3862	11	21	7015	5534	26	37	15	9560	83	272	2820	5	158	2457	11	127	10440	1899	1815	3429	2339	2372	10271	1991	14	8948	9106	7806	87	20	7008	1603	1878	8843	8816	12	3951	3138	18	8782	10628	8832	10386	643	22	48	13	30	56	7	3578	3809	9	5	2791	2159	1797	1540	4166	10444	14	28	13	630	46	49	7797	1774	48	6	900	2472	1868	8565	8732	9686	10630	10523	613	912	314	0	137	8341	3828	11	40	3732	8996	6134	18	29	35	10456
Met8654	17	19	93	61	335	61	200	118	992	105	26	3549	3150	98	318	106	4033	33	130	581	20	20	239	20	16	4699	71	228	822	16	43	4534	53	38	4571	4661	3941	267	116	3349	45	41	4427	4414	315	62	46	58	4417	4782	4435	4687	456	154	84	188	102	197	276	45	74	295	15	60	96	164	377	981	4700	99	367	129	36	25	108	3908	1101	105	61	18	29	36	4325	4384	4313	4782	4709	149	23	26	137	0	4467	2205	345	291	946	4619	2090	112	329	212	4658
Met8655	1327	4452	3223	3804	12978	10883	11834	6294	6441	5954	4711	10707	10385	5840	12462	6282	12396	6592	4666	5649	3632	4	7	6134	3	13454	2274	4403	6061	5191	5573	13259	4722	4549	12487	12495	11261	10978	6505	10590	59	58	12421	12381	12461	12063	10360	4574	12424	13613	12396	13440	6608	2273	3524	9984	6502	9764	11865	6628	11828	12404	4534	11288	4018	3979	5436	6559	13470	6270	13053	7179	5214	5054	6252	11441	7643	6274	4932	4428	6403	6391	12194	12270	12713	13612	13487	5985	5040	6147	8341	4467	0	8993	12922	12197	6352	12416	9391	6493	12401	9816	13452
Met8661	2500	336	185	9	5554	8337	8567	3062	4052	2682	2407	20	9	8	5354	8	9314	3218	2250	21	17	2578	4332	3097	2072	10241	8	12	21	3332	3609	10032	2950	16	9031	9247	8387	4749	596	7562	1872	2161	24	24	5393	9482	7902	10	19	10336	17	10213	7	3487	13	4250	3089	4195	5135	4477	9236	5349	177	8774	2378	2347	3117	4234	10239	30	5657	507	2936	2529	3001	8182	4337	3003	2610	366	4247	3270	18	21	9624	10332	10292	17	11	2802	3828	2205	8993	0	5634	5192	4024	9142	6744	3059	5417	4291	10234
Met8662	975	31	1837	198	10	10052	11474	13	6745	4	18	10733	8194	42	34	10	12753	101	699	5787	24	930	7073	20	378	13760	3896	4313	6487	5333	5781	13588	4114	22	13079	13363	12145	54	30	11139	3315	3710	13351	13319	8	13395	10593	33	13288	13944	13341	13706	887	30	50	26	40	74	14	6948	12983	19	20	11055	4016	3201	2494	6659	13777	7	24	1	1114	79	53	11884	2536	39	5	2901	6790	5934	13009	13200	12956	13946	13857	2918	3570	1240	11	345	12922	5634	0	50	6654	13215	9114	20	36	51	13835
Met8665	822	26	1715	100	46	9240	10743	29	6278	23	23	10128	7594	39	66	29	11686	61	620	5361	18	808	6485	44	334	12625	3601	3987	6034	4938	5369	12459	3823	28	12119	12324	11224	88	50	10374	3034	3416	12360	12328	54	12357	9933	28	12312	12778	12346	12602	767	52	49	56	49	96	43	6330	12149	41	26	10208	3649	3004	2181	6109	12640	29	72	29	1033	63	35	11167	2254	34	6	2643	6250	5460	12074	12218	11943	12782	12669	2625	3267	1037	40	291	12197	5192	50	0	6134	12246	8435	38	79	78	12609
Met8699	1165	759	137	154	6638	5928	6020	114	57	80	123	5263	5026	1565	6300	1876	5900	2107	11	106	528	1219	2219	1915	746	6612	1302	19	111	76	72	6501	442	830	197	5866	5285	5514	2051	138	77	102	6487	6454	6363	6573	5361	224	6429	6693	6484	6596	2134	2864	1287	4576	1253	4546	5851	2061	6350	6219	946	6154	102	25	191	163	6625	1898	6711	2528	135	683	68	135	85	82	109	226	165	837	6312	6399	6174	6693	6684	2022	1464	2135	3732	946	6352	4024	6654	6134	0	5754	3810	252	6370	4493	6639
