Sample,DB,gene,allele,coverage,depth,diffs,uncertainty,divergence,length,maxMAF,clusterid,seqid,annotation
Met7522,CARD_v3.0.8_SRST2,AAC2'_AGly,aac2'-Ia_1,100,57.888,2snp,,0.372,537,0.139,1,1,
Met7523,CARD_v3.0.8_SRST2,AAC2'_AGly,aac2'-Ia_1,100,79.838,,NA,0,537,0.432,1,1,
Met7524,CARD_v3.0.8_SRST2,AAC2'_AGly,aac2'-Ia_1,100,24.574,1snp,NA,0.186,537,0.138,1,1,
Met7525,CARD_v3.0.8_SRST2,AAC2'_AGly,aac2'-Ia_1,100,10.028,1snp,,0.186,537,0.25,1,1,
Met7526,CARD_v3.0.8_SRST2,AAC2'_AGly,aac2'-Ia_1,100,44.985,2snp,,0.372,537,0.117,1,1,
Met7486,CARD_v3.0.8_SRST2,AAC3_AGly,aac3-Id_11,100,11.358,1snp,,0.21,477,0.167,2,11,
Met7520,CARD_v3.0.8_SRST2,AAC3_AGly,aac3-IIa.v1_12,100,12.939,,,0,861,0.25,2,12,
Met7521,CARD_v3.0.8_SRST2,AAC3_AGly,aac3-IIa.v1_12,100,16.789,,,0,861,0.25,2,12,
Met7526,CARD_v3.0.8_SRST2,AAC3_AGly,aac3-IIa.v1_12,100,6.712,,,0,861,0.167,2,12,
Met7486,CARD_v3.0.8_SRST2,AAC6'_AGly,aac6'-Il_74,100,11.517,,,0,459,0.143,3,74,
Met7488,CARD_v3.0.8_SRST2,AAC6'_AGly,aac6'-Ib'.v1_52,100,56.965,,,0,606,0.053,3,52,
Met7489,CARD_v3.0.8_SRST2,AAC6'_AGly,aac6'-Ib'.v1_52,100,203.862,,,0,606,0.03,3,52,
Met7490,CARD_v3.0.8_SRST2,AAC6'_AGly,aac6'-Im_75,98.138,4.932,10snp10holes,edge1.0,1.898,537,0.5,3,75,
Met7491,CARD_v3.0.8_SRST2,AAC6'_AGly,aac6'-Ib-cr.v2_48,100,53.098,,,0,600,0.081,3,48,
Met7494,CARD_v3.0.8_SRST2,AAC6'_AGly,aac6'-Ib-cr.v2_48,100,198.952,,,0,600,0.036,3,48,
Met7498,CARD_v3.0.8_SRST2,AAC6'_AGly,aac6'-Im_75,100,13.762,2snp,,0.372,537,0.25,3,75,
Met7499,CARD_v3.0.8_SRST2,AAC6'_AGly,aac6'-Im_75,100,6.68,2snp,edge2.0,0.372,537,0.4,3,75,
Met7500,CARD_v3.0.8_SRST2,AAC6'_AGly,aac6'-Ib'.v1_52,100,12.157,,edge2.0,0,606,0.25,3,52,
Met7506,CARD_v3.0.8_SRST2,AAC6'_AGly,aac6'-Ib'.v2_53,100,24.617,,,0,555,0.31,3,53,
Met7507,CARD_v3.0.8_SRST2,AAC6'_AGly,aac6'-Ib'.v1_52,100,52.033,,,0,606,0.424,3,52,
Met7509,CARD_v3.0.8_SRST2,AAC6'_AGly,aac6'-Ib-Suzhou_51,100,14.008,3snp,edge1.0,0.578,519,0.2,3,51,
Met7510,CARD_v3.0.8_SRST2,AAC6'_AGly,aac6'-Ic_61,100,3.995,6snp,depth3.995,1.361,441,0.333,3,61,
Met7514,CARD_v3.0.8_SRST2,AAC6'_AGly,aac6'-Ib'.v1_52,100,14.32,,,0,606,0.154,3,52,
Met7517,CARD_v3.0.8_SRST2,AAC6'_AGly,aac6'-Ib-Suzhou_51,97.881,2.546,11holes,edge0.0,0,519,0.5,3,51,
Met7520,CARD_v3.0.8_SRST2,AAC6'_AGly,aac6'-Ian_45,100,12.943,,,0,573,0.2,3,45,
Met7521,CARD_v3.0.8_SRST2,AAC6'_AGly,aac6'-Ib'.v1_52,100,49.072,trun,,0,606,0.113,3,52,
Met7522,CARD_v3.0.8_SRST2,AAC6'_AGly,aac6'-Ib'.v1_52,100,124.695,,,0,606,0.047,3,52,
Met7523,CARD_v3.0.8_SRST2,AAC6'_AGly,aac6'-Ib'.v1_52,100,272.73,,NA,0,606,0.038,3,52,
Met7524,CARD_v3.0.8_SRST2,AAC6'_AGly,aac6'-Ib'.v1_52,100,77.333,,NA,0,606,0.219,3,52,
Met7525,CARD_v3.0.8_SRST2,AAC6'_AGly,aac6'-Ib'.v1_52,100,28.105,,,0,606,0.087,3,52,
Met7526,CARD_v3.0.8_SRST2,AAC6'_AGly,aac6'-Ib'.v1_52,100,76.812,,,0,606,0.05,3,52,
Met7492,CARD_v3.0.8_SRST2,AAC6';APH2''_AGly,aac6'-Ie-aph2''-Ia_91,100,77.14,1snp,,0.069,1440,0.408,3,91,
Met7493,CARD_v3.0.8_SRST2,AAC6';APH2''_AGly,aac6'-Ie-aph2''-Ia_91,100,60.298,1snp,,0.069,1440,0.258,3,91,
Met7495,CARD_v3.0.8_SRST2,AAC6';APH2''_AGly,aac6'-Ie-aph2''-Ia_91,100,8.249,,,0,1440,0.5,3,91,
Met7496,CARD_v3.0.8_SRST2,AAC6';APH2''_AGly,aac6'-Ie-aph2''-Ia_91,100,31.2,,,0,1440,0.125,3,91,
Met7497,CARD_v3.0.8_SRST2,AAC6';APH2''_AGly,aac6'-Ie-aph2''-Ia_91,100,1031.867,,,0,1440,0.027,3,91,
Met7501,CARD_v3.0.8_SRST2,AAC6';APH2''_AGly,aac6'-Ie-aph2''-Ia_91,100,69.291,trun,,0,1440,0.063,3,91,
Met7502,CARD_v3.0.8_SRST2,AAC6';APH2''_AGly,aac6'-Ie-aph2''-Ia_91,100,35.312,trun,,0,1440,0.111,3,91,
Met7503,CARD_v3.0.8_SRST2,AAC6';APH2''_AGly,aac6'-Ie-aph2''-Ia_91,100,161.083,,,0,1440,0.064,3,91,
Met7504,CARD_v3.0.8_SRST2,AAC6';APH2''_AGly,aac6'-Ie-aph2''-Ia_91,100,577.828,,NA,0,1440,0.031,3,91,
Met7505,CARD_v3.0.8_SRST2,AAC6';APH2''_AGly,aac6'-Ie-aph2''-Ia_91,100,392.464,,,0,1440,0.037,3,91,
Met7513,CARD_v3.0.8_SRST2,AAC6';APH2''_AGly,aac6'-Ie-aph2''-Ia_91,90.833,7.561,2snp132holes,edge0.0,0.153,1440,0.5,3,91,
Met7516,CARD_v3.0.8_SRST2,AAC6';APH2''_AGly,aac6'-Ie-aph2''-Ia_91,99.028,15.482,14holes,edge2.0,0,1440,0.5,3,91,
Met7518,CARD_v3.0.8_SRST2,AAC6';APH2''_AGly,aac6'-Ie-aph2''-Ia_91,100,159.992,,,0,1440,0.05,3,91,
Met7519,CARD_v3.0.8_SRST2,AAC6';APH2''_AGly,aac6'-Ie-aph2''-Ia_91,100,56.155,,,0,1440,0.402,3,91,
Met7488,CARD_v3.0.8_SRST2,ACI_Bla,ACI-1_202,100,45.886,,,0,855,0.083,33,202,
Met7489,CARD_v3.0.8_SRST2,ACI_Bla,ACI-1_202,100,17.096,,,0,855,0.167,33,202,
Met7499,CARD_v3.0.8_SRST2,ACI_Bla,ACI-1_202,100,23.982,,,0,855,0.167,33,202,
Met7506,CARD_v3.0.8_SRST2,ADC_Bla,ADC-74_276,98.872,15.294,29snp1indel12holes,,2.544,1152,0.333,35,276,
Met7507,CARD_v3.0.8_SRST2,ADC_Bla,ADC-16_259,93.142,10.061,106snp79holes,,9.879,1152,0.091,35,259,
Met7514,CARD_v3.0.8_SRST2,ADC_Bla,ADC-76_278,90.278,5.923,18snp112holes,,1.731,1152,0.5,35,278,
Met7516,CARD_v3.0.8_SRST2,ADC_Bla,ADC-73_275,100,16.296,10snp,,0.868,1152,0.5,35,275,
Met7520,CARD_v3.0.8_SRST2,ADC_Bla,ADC-75_277,93.316,7.407,25snp2indel76holes,edge0.0,2.323,1152,0.5,35,277,
Met7521,CARD_v3.0.8_SRST2,ADC_Bla,ADC-39_241,99.913,11.748,27snp2indel,,2.344,1152,0.5,35,241,
Met7526,CARD_v3.0.8_SRST2,ADC_Bla,ADC-10_253,91.602,4.108,29snp98holes,edge0.0,2.713,1167,0.5,35,253,
Met7488,CARD_v3.0.8_SRST2,ANT2''_AGly,ant2''-Ia_92,100,92.307,,,0,534,0.07,4,92,
Met7489,CARD_v3.0.8_SRST2,ANT2''_AGly,ant2''-Ia_92,100,391.187,,,0,534,0.028,4,92,
Met7494,CARD_v3.0.8_SRST2,ANT2''_AGly,ant2''-Ia_92,100,8.602,,,0,534,0.333,4,92,
Met7501,CARD_v3.0.8_SRST2,ANT2''_AGly,ant2''-Ia_92,100,11.594,,,0,534,0.4,4,92,
Met7502,CARD_v3.0.8_SRST2,ANT2''_AGly,ant2''-Ia_92,100,22.056,,,0,534,0.15,4,92,
Met7506,CARD_v3.0.8_SRST2,ANT2''_AGly,ant2''-Ia_92,100,98.804,,,0,534,0.08,4,92,
Met7507,CARD_v3.0.8_SRST2,ANT2''_AGly,ant2''-Ia_92,100,66.753,,,0,534,0.058,4,92,
Met7509,CARD_v3.0.8_SRST2,ANT2''_AGly,ant2''-Ia_92,99.251,6.633,4holes,edge0.0,0,534,0.5,4,92,
Met7514,CARD_v3.0.8_SRST2,ANT2''_AGly,ant2''-Ia_92,100,16.312,,,0,534,0.143,4,92,
Met7516,CARD_v3.0.8_SRST2,ANT2''_AGly,ant2''-Ia_92,100,54.032,,,0,534,0.098,4,92,
Met7517,CARD_v3.0.8_SRST2,ANT2''_AGly,ant2''-Ia_92,100,21.318,,,0,534,0.095,4,92,
Met7520,CARD_v3.0.8_SRST2,ANT2''_AGly,ant2''-Ia_92,100,34.166,,,0,534,0.095,4,92,
Met7521,CARD_v3.0.8_SRST2,ANT2''_AGly,ant2''-Ia_92,100,88.566,,,0,534,0.049,4,92,
Met7522,CARD_v3.0.8_SRST2,ANT2''_AGly,ant2''-Ia_92,100,110.168,,,0,534,0.049,4,92,
Met7523,CARD_v3.0.8_SRST2,ANT2''_AGly,ant2''-Ia_92,100,432.129,,NA,0,534,0.046,4,92,
Met7524,CARD_v3.0.8_SRST2,ANT2''_AGly,ant2''-Ia_92,100,311.613,,NA,0,534,0.039,4,92,
Met7525,CARD_v3.0.8_SRST2,ANT2''_AGly,ant2''-Ia_92,100,19.97,,,0,534,0.333,4,92,
Met7526,CARD_v3.0.8_SRST2,ANT2''_AGly,ant2''-Ia_92,100,139.897,,,0,534,0.048,4,92,
Met7486,CARD_v3.0.8_SRST2,ANT3''_AGly,aadA_93,99.621,50,2snp3indel,,0.253,792,0.179,5,93,
Met7488,CARD_v3.0.8_SRST2,ANT3''_AGly,aadA_93,99.621,85.39,2snp3indel,,0.253,792,0.176,5,93,
Met7489,CARD_v3.0.8_SRST2,ANT3''_AGly,aadA15_101,100,424.04,7snp,,0.884,792,0.5,5,101,
Met7494,CARD_v3.0.8_SRST2,ANT3''_AGly,aadA_93,99.621,17.148,2snp3indel,,0.253,792,0.448,5,93,
Met7500,CARD_v3.0.8_SRST2,ANT3''_AGly,aadA25_109,99.874,8.805,5snp1indel,,0.631,792,0.5,5,109,
Met7501,CARD_v3.0.8_SRST2,ANT3''_AGly,aadA12_98,100,23.381,4snp,,0.505,792,0.45,5,98,
Met7502,CARD_v3.0.8_SRST2,ANT3''_AGly,aadA12_98,100,41.599,9snp,,1.136,792,0.444,5,98,
Met7504,CARD_v3.0.8_SRST2,ANT3''_AGly,aadA_93,99.621,66.642,2snp3indel,NA,0.253,792,0.087,5,93,
Met7505,CARD_v3.0.8_SRST2,ANT3''_AGly,aadA_93,99.621,13.016,2snp3indel,,0.253,792,0.2,5,93,
Met7506,CARD_v3.0.8_SRST2,ANT3''_AGly,aadA24_108,96.667,25.029,5snp26holes,edge0.0,0.663,780,0.455,5,108,
Met7507,CARD_v3.0.8_SRST2,ANT3''_AGly,aadA10_95,100,51.793,,,0,834,0.302,5,95,
Met7509,CARD_v3.0.8_SRST2,ANT3''_AGly,aadA10_95,91.847,3.378,68holes,edge2.0,0,834,0.5,5,95,
Met7514,CARD_v3.0.8_SRST2,ANT3''_AGly,aadA_93,99.621,14.339,2snp3indel,,0.253,792,0.267,5,93,
Met7516,CARD_v3.0.8_SRST2,ANT3''_AGly,aadA_93,99.621,76.763,2snp3indel,,0.253,792,0.296,5,93,
Met7517,CARD_v3.0.8_SRST2,ANT3''_AGly,aadA10_95,100,19.721,,,0,834,0.1,5,95,
Met7520,CARD_v3.0.8_SRST2,ANT3''_AGly,aadA_93,99.621,46.984,2snp3indel,,0.253,792,0.414,5,93,
Met7521,CARD_v3.0.8_SRST2,ANT3''_AGly,aadA10_95,100,45.178,,,0,834,0.109,5,95,
Met7522,CARD_v3.0.8_SRST2,ANT3''_AGly,aadA_93,99.621,109.458,2snp3indel,,0.253,792,0.472,5,93,
Met7523,CARD_v3.0.8_SRST2,ANT3''_AGly,aadA10_95,100,218.291,,NA,0,834,0.046,5,95,
Met7524,CARD_v3.0.8_SRST2,ANT3''_AGly,aadA10_95,100,279.674,,NA,0,834,0.058,5,95,
Met7525,CARD_v3.0.8_SRST2,ANT3''_AGly,aadA7.v2_118,97.243,4.426,14snp22holes,edge2.0,1.804,798,0.5,5,118,
Met7526,CARD_v3.0.8_SRST2,ANT3''_AGly,aadA10_95,100,52.947,,,0,834,0.089,5,95,
Met7488,CARD_v3.0.8_SRST2,ANT4'_AGly,ant4'-Ib_128,100,7.163,,,0,762,0.4,6,128,
Met7489,CARD_v3.0.8_SRST2,ANT4'_AGly,ant4'-Ib_128,100,9.389,,edge1.0,0,762,0.2,6,128,
Met7492,CARD_v3.0.8_SRST2,ANT4'_AGly,ant4'-Ib_128,100,92.429,,,0,762,0.438,6,128,
Met7493,CARD_v3.0.8_SRST2,ANT4'_AGly,ant4'-Ib_128,100,36.459,1snp,,0.131,762,0.417,6,128,
Met7495,CARD_v3.0.8_SRST2,ANT4'_AGly,ant4'-Ib_128,100,69.117,,,0,762,0.065,6,128,
Met7496,CARD_v3.0.8_SRST2,ANT4'_AGly,ant4'-Ib_128,98.163,6.594,1snp14holes,edge2.0,0.134,762,0.5,6,128,
Met7497,CARD_v3.0.8_SRST2,ANT4'_AGly,ant4'-Ib_128,100,87.826,,,0,762,0.193,6,128,
Met7501,CARD_v3.0.8_SRST2,ANT4'_AGly,ant4'-Ib_128,100,46.688,,,0,762,0.077,6,128,
Met7502,CARD_v3.0.8_SRST2,ANT4'_AGly,ant4'-Ib_128,100,25.617,,,0,762,0.111,6,128,
Met7503,CARD_v3.0.8_SRST2,ANT4'_AGly,ant4'-Ib_128,100,97.644,,,0,762,0.052,6,128,
Met7504,CARD_v3.0.8_SRST2,ANT4'_AGly,ant4'-Ib_128,100,839.74,,NA,0,762,0.043,6,128,
Met7505,CARD_v3.0.8_SRST2,ANT4'_AGly,ant4'-Ib_128,100,83.046,,,0,762,0.066,6,128,
Met7509,CARD_v3.0.8_SRST2,ANT4'_AGly,ant4'-Ib_128,100,40.651,,,0,762,0.087,6,128,
Met7512,CARD_v3.0.8_SRST2,ANT4'_AGly,ant4'-Ib_128,100,2.76,,edge2.0,0,762,0.5,6,128,
Met7513,CARD_v3.0.8_SRST2,ANT4'_AGly,ant4'-Ib_128,100,13.486,,,0,762,0.133,6,128,
Met7514,CARD_v3.0.8_SRST2,ANT4'_AGly,ant4'-Ib_128,100,141.993,,,0,762,0.036,6,128,
Met7516,CARD_v3.0.8_SRST2,ANT4'_AGly,ant4'-Ib_128,100,68.979,,,0,762,0.123,6,128,
Met7518,CARD_v3.0.8_SRST2,ANT4'_AGly,ant4'-Ib_128,100,1332.708,1snp,,0.131,762,0.297,6,128,
Met7519,CARD_v3.0.8_SRST2,ANT4'_AGly,ant4'-Ib_128,100,651.524,1snp,,0.131,762,0.101,6,128,
Met7520,CARD_v3.0.8_SRST2,ANT4'_AGly,ant4'-Ib_128,100,16.02,,,0,762,0.154,6,128,
Met7525,CARD_v3.0.8_SRST2,ANT4'_AGly,ant4'-Ib_128,100,22.017,,,0,762,0.176,6,128,
Met7488,CARD_v3.0.8_SRST2,ANT6_AGly,ant6-Ia.v1_136,91.419,2.661,6snp1indel78holes,edge2.0,0.722,909,0.5,7,136,
Met7489,CARD_v3.0.8_SRST2,ANT6_AGly,ant6-Ia.v1_136,94.719,9.693,48holes,edge0.0,0,909,0.364,7,136,
Met7492,CARD_v3.0.8_SRST2,ANT6_AGly,ant6-Ia.v1_136,100,5.079,1snp,edge2.0,0.11,909,0.333,7,136,
Met7497,CARD_v3.0.8_SRST2,ANT6_AGly,ant6-Ia.v1_136,100,10.245,,edge2.0,0,909,0.4,7,136,
Met7498,CARD_v3.0.8_SRST2,ANT6_AGly,ant6-Ia.v1_136,93.069,3.455,1snp63holes,edge1.0,0.118,909,0.5,7,136,
Met7499,CARD_v3.0.8_SRST2,ANT6_AGly,aadS_133,100,23.624,3snp,,0.347,864,0.143,7,133,
Met7501,CARD_v3.0.8_SRST2,ANT6_AGly,ant6-Ia.v1_136,100,39.119,,,0,909,0.209,7,136,
Met7502,CARD_v3.0.8_SRST2,ANT6_AGly,ant6-Ia.v1_136,100,21.814,,,0,909,0.182,7,136,
Met7503,CARD_v3.0.8_SRST2,ANT6_AGly,ant6-Ia.v1_136,100,48.742,2snp,,0.22,909,0.463,7,136,
Met7504,CARD_v3.0.8_SRST2,ANT6_AGly,ant6-Ia.v1_136,100,135.424,6snp1indel,NA,0.66,909,0.437,7,136,
Met7505,CARD_v3.0.8_SRST2,ANT6_AGly,ant6-Ia.v1_136,100,150.037,1snp,,0.11,909,0.455,7,136,
Met7514,CARD_v3.0.8_SRST2,ANT6_AGly,ant6-Ia.v1_136,100,14.943,5snp,,0.55,909,0.25,7,136,
Met7519,CARD_v3.0.8_SRST2,ANT6_AGly,ant6-Ia.v1_136,100,23.777,,,0,909,0.185,7,136,
Met7520,CARD_v3.0.8_SRST2,ANT6_AGly,ant6-Ia.v1_136,98.35,14.242,13snp15holes,,1.454,909,0.333,7,136,
Met7521,CARD_v3.0.8_SRST2,ANT6_AGly,aadS_133,100,6.099,3snp,,0.347,864,0.25,7,133,
Met7522,CARD_v3.0.8_SRST2,ANT6_AGly,aadS_133,100,13.215,3snp,,0.347,864,0.2,7,133,
Met7525,CARD_v3.0.8_SRST2,ANT6_AGly,aadS_133,91.319,6.229,2snp75holes,edge2.0,0.253,864,0.333,7,133,
Met7526,CARD_v3.0.8_SRST2,ANT6_AGly,aadS_133,100,193.086,3snp,,0.347,864,0.042,7,133,
Met7491,CARD_v3.0.8_SRST2,APH2''_AGly,aph2''-IIa_142,100,126.805,4snp,,0.444,900,0.374,9,142,
Met7494,CARD_v3.0.8_SRST2,APH2''_AGly,aph2''-IIa_142,100,115.731,6snp,,0.667,900,0.443,9,142,
Met7498,CARD_v3.0.8_SRST2,APH2''_AGly,aph2''-IVa_144,100,13.972,,,0,906,0.167,9,144,
Met7499,CARD_v3.0.8_SRST2,APH2''_AGly,aph2''-IIa_142,96.111,6.398,3snp35holes,,0.347,900,0.5,9,142,
Met7514,CARD_v3.0.8_SRST2,APH2''_AGly,aph2''-IIa_142,100,67.263,4snp,,0.444,900,0.169,9,142,
Met7520,CARD_v3.0.8_SRST2,APH2''_AGly,aph2''-Ig_141,100,10.868,,,0,921,0.25,9,141,
Met7525,CARD_v3.0.8_SRST2,APH2''_AGly,aph2''-Ig_141,95.657,4.968,1snp40holes,edge0.0,0.114,921,0.5,9,141,
Met7486,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-Ia_148,100,5.622,,edge1.0,0,816,0.333,11,148,
Met7488,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-IIIa_153,98.868,4.504,3snp9holes,edge2.0,0.382,795,0.5,11,153,
Met7489,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-Ia_148,100,5.064,,,0,816,0.5,11,148,
Met7491,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-IIIa_153,100,61.117,,,0,795,0.065,11,153,
Met7492,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-Ia_148,100,1336.958,,,0,816,0.03,11,148,
Met7493,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-Ia_148,100,17.616,,,0,816,0.182,11,148,
Met7494,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-Ia_148,100,12.364,trun,,0,816,0.182,11,148,
Met7496,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-IIIa_153,100,13.813,,edge1.0,0,795,0.25,11,153,
Met7497,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-Ia_148,100,22.094,trun,,0,816,0.143,11,148,
Met7498,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-IIIa_153,100,460.847,,,0,795,0.023,11,153,
Met7499,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-IIIa_153,100,166.01,,,0,795,0.041,11,153,
Met7501,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-Ia_148,100,10.988,,,0,816,0.2,11,148,
Met7502,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-Ia_148,100,6.898,,,0,816,0.4,11,148,
Met7503,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-Ia_148,100,49.147,1snp,,0.123,816,0.5,11,148,
Met7504,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-Ia_148,100,54.075,,NA,0,816,0.056,11,148,
Met7505,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-Ia_148,100,527.443,,,0,816,0.035,11,148,
Met7506,CARD_v3.0.8_SRST2,APH3'_AGly,aph3-Ia.v1_165,90.196,6.22,6snp80holes,edge2.0,0.815,816,0.125,11,165,
Met7507,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-Ia_148,99.755,24.708,4snp2holes,edge0.0,0.491,816,0.143,11,148,
Met7509,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-Ia_148,100,24.185,,,0,816,0.172,11,148,
Met7514,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-IIIa_153,100,16.202,,,0,795,0.2,11,153,
Met7515,CARD_v3.0.8_SRST2,APH3'_AGly,aph3-Ia.v1_165,100,11.499,1snp,,0.123,816,0.2,11,165,
Met7516,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-IIIa_153,96.352,7.888,1snp29holes,edge0.0,0.131,795,0.4,11,153,
Met7517,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-IIb_151,100,13.355,3snp,,0.372,807,0.1,11,151,
Met7518,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-IIIa_153,100,32.691,,,0,795,0.083,11,153,
Met7519,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-Ia_148,100,294.071,,,0,816,0.028,11,148,
Met7520,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-IIIa_153,100,738.093,,,0,795,0.023,11,153,
Met7521,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-IIIa_153,100,61.558,,,0,795,0.082,11,153,
Met7522,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-IIIa_153,100,137.205,,,0,795,0.045,11,153,
Met7523,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-IIb_151,100,138.157,3snp,NA,0.372,807,0.072,11,151,
Met7524,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-IIb_151,100,182.587,3snp,NA,0.372,807,0.075,11,151,
Met7525,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-Ia_148,100,20.578,trun,,0,816,0.133,11,148,
Met7526,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-IIIa_153,100,502.249,,,0,795,0.035,11,153,
Met7486,CARD_v3.0.8_SRST2,APH3''_AGly,aph3''-Ib_146,100,13.568,1snp,edge2.0,0.124,804,0.143,10,146,
Met7488,CARD_v3.0.8_SRST2,APH3''_AGly,aph3''-Ib_146,97.139,3.357,9snp23holes,edge1.0,1.152,804,0.5,10,146,
Met7492,CARD_v3.0.8_SRST2,APH3''_AGly,aph3''-Ib_146,100,1104.63,1snp,,0.124,804,0.057,10,146,
Met7493,CARD_v3.0.8_SRST2,APH3''_AGly,aph3''-Ib_146,100,18.286,1snp,,0.124,804,0.182,10,146,
Met7495,CARD_v3.0.8_SRST2,APH3''_AGly,aph3''-Ib_146,90.672,3.136,6snp75holes,edge0.0,0.823,804,0.5,10,146,
Met7497,CARD_v3.0.8_SRST2,APH3''_AGly,aph3''-Ib_146,100,17.611,1snp,,0.124,804,0.133,10,146,
Met7501,CARD_v3.0.8_SRST2,APH3''_AGly,aph3''-Ib_146,100,8.457,1snp,edge1.0,0.124,804,0.3,10,146,
Met7502,CARD_v3.0.8_SRST2,APH3''_AGly,aph3''-Ib_146,93.657,4.534,1snp51holes,edge0.0,0.133,804,0.333,10,146,
Met7503,CARD_v3.0.8_SRST2,APH3''_AGly,aph3''-Ib_146,100,19.579,1snp,,0.124,804,0.12,10,146,
Met7504,CARD_v3.0.8_SRST2,APH3''_AGly,aph3''-Ib_146,100,45.401,1snp,NA,0.124,804,0.111,10,146,
Met7505,CARD_v3.0.8_SRST2,APH3''_AGly,aph3''-Ib_146,100,426.642,1snp,,0.124,804,0.041,10,146,
Met7509,CARD_v3.0.8_SRST2,APH3''_AGly,aph3''-Ib_146,100,17.856,1snp,,0.124,804,0.182,10,146,
Met7514,CARD_v3.0.8_SRST2,APH3''_AGly,aph3''-Ib_146,100,10.07,1snp,edge1.5,0.124,804,0.5,10,146,
Met7516,CARD_v3.0.8_SRST2,APH3''_AGly,aph3''-Ib_146,100,140.078,1snp,,0.124,804,0.082,10,146,
Met7518,CARD_v3.0.8_SRST2,APH3''_AGly,aph3''-Ib_146,99.876,6.343,1snp1indel,,0.124,804,0.333,10,146,
Met7519,CARD_v3.0.8_SRST2,APH3''_AGly,aph3''-Ib_146,99.876,238.443,1snp1indel,,0.124,804,0.047,10,146,
Met7520,CARD_v3.0.8_SRST2,APH3''_AGly,aph3''-Ib_146,100,35.893,1snp,,0.124,804,0.095,10,146,
Met7521,CARD_v3.0.8_SRST2,APH3''_AGly,aph3''-Ib_146,100,18.381,1snp,,0.124,804,0.167,10,146,
Met7525,CARD_v3.0.8_SRST2,APH3''_AGly,aph3''-Ib_146,100,18.273,1snp,,0.124,804,0.211,10,146,
Met7526,CARD_v3.0.8_SRST2,APH3''_AGly,aph3''-Ib_146,100,7.198,1snp,,0.124,804,0.25,10,146,
Met7486,CARD_v3.0.8_SRST2,APH6_AGly,aph6-Id.v1_171,100,14.125,1snp,,0.119,837,0.182,13,171,
Met7488,CARD_v3.0.8_SRST2,APH6_AGly,aph6-Id.v1_171,100,6.263,1snp,,0.119,837,0.4,13,171,
Met7489,CARD_v3.0.8_SRST2,APH6_AGly,aph6-Id.v2_172,100,8.444,1snp,,0.119,837,0.333,13,172,
Met7492,CARD_v3.0.8_SRST2,APH6_AGly,aph6-Id.v1_171,100,1347.063,1snp,,0.119,837,0.037,13,171,
Met7493,CARD_v3.0.8_SRST2,APH6_AGly,aph6-Id.v2_172,100,21.846,1snp,,0.119,837,0.125,13,172,
Met7495,CARD_v3.0.8_SRST2,APH6_AGly,aph6-Id.v1_171,97.73,3.187,1snp19holes,edge0.0,0.122,837,0.5,13,171,
Met7497,CARD_v3.0.8_SRST2,APH6_AGly,aph6-Id.v2_172,100,22.245,1snp,,0.119,837,0.095,13,172,
Met7501,CARD_v3.0.8_SRST2,APH6_AGly,aph6-Id.v1_171,100,13.172,1snp,,0.119,837,0.2,13,171,
Met7502,CARD_v3.0.8_SRST2,APH6_AGly,aph6-Id.v1_171,100,10.48,1snp,edge1.0,0.119,837,0.4,13,171,
Met7503,CARD_v3.0.8_SRST2,APH6_AGly,aph6-Id.v2_172,100,26.229,1snp,,0.119,837,0.111,13,172,
Met7504,CARD_v3.0.8_SRST2,APH6_AGly,aph6-Id.v1_171,100,58.876,1snp,NA,0.119,837,0.063,13,171,
Met7505,CARD_v3.0.8_SRST2,APH6_AGly,aph6-Id.v2_172,100,546.465,1snp,,0.119,837,0.031,13,172,
