user_genome,domain,phylum,class,order,family,genus,species,Unique_ptid,site_specific,Survey_Period
Met4849_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__Corynebacterium jeikeium,46,Fg,2
Met4853_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Providencia,s__Providencia stuartii,28,Ic,2
Met4854_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Phascolarctobacterium_A,s__Phascolarctobacterium_A succinatutens,28,An,2
Met4858_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Proteus,s__Proteus mirabilis,28,N,3
Met4860_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides xylanisolvens,28,Ic,3
Met4861_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes shahii,28,An,3
Met4862_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A,s__Blautia_A wexlerae,28,Tw,3
Met4863_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Gleimia,s__Gleimia hominis,28,Fg,3
Met4866_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus pettenkoferi,23,Ea,3
Met4873_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Providencia,s__Providencia stuartii,53,An,3
Met4880_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Morganella,s__Morganella morganii,46,An,3
Met4882_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae,g__Anaerococcus,s__,46,Fg,3
Met4887_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Megasphaeraceae,g__Megasphaera,s__Megasphaera sp001546855,35,An,3
Met5657_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Dermabacteraceae,g__Dermabacter,s__Dermabacter hominis,2,Ic,1
Met5658_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Ruthenibacterium,s__Ruthenibacterium sp018380115,2,An,1
Met5660_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae,g__Peptoniphilus_A,s__,2,Fg,1
Met5663_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Clostridium_Q,s__Clostridium_Q symbiosum,46,An,1
Met5666_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__Corynebacterium jeikeium_C,28,Fg,1
Met5668_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Flavonifractor,s__Flavonifractor plautii,28,Ic,1
Met5669_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas aeruginosa,28,N,1
Met5670_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae,g__Anaerococcus,s__,4,Fg,1
Met5674_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter_B,s__Campylobacter_B ureolyticus,4,An,1
Met5678_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonella_A,s__Veillonella_A sp018364065,48,An,1
Met5680_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonella_A,s__Veillonella_A seminalis,14,An,1
Met5686_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Proteus,s__Proteus mirabilis,15,Ic,1
Met5687_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella bivia,15,An,1
Met5688_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae,g__Anaerococcus,s__Anaerococcus nagyae,35,Fg,1
Met5689_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A,s__Blautia_A hydrogenotrophica,35,An,1
Met5694_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A,s__Blautia_A sp900551465,23,Ic,1
Met5696_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__Fimisoma,s__Fimisoma sp000435715,23,An,1
Met5700_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__Parabacteroides goldsteinii,53,An,1
Met5703_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Klebsiella,s__Klebsiella pneumoniae,5,N,2
Met5704_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonella_A,s__Veillonella_A seminalis,5,Ic,2
Met5705_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__Corynebacterium jeikeium,5,Fg,2
Met5706_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae,g__Gulosibacter,s__Gulosibacter sp904848455,5,An,2
Met5709_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus epidermidis,14,Ic,2
Met5714_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__,15,An,2
Met5715_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides thetaiotaomicron,15,Ic,2
Met5717_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Aerococcus,s__Aerococcus christensenii,15,N,2
Met5718_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Desulfobacterota_I,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,s__Desulfovibrio fairfieldensis,2,An,2
Met5720_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__,2,Fg,2
Met5723_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonella_A,s__Veillonella_A sp018364065,4,An,2
Met5725_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__Corynebacterium sp900539985,4,Fg,2
Met5728_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus paragasseri,2,An,3
Met5730_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Desulfobacterota_I,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,s__Desulfovibrio desulfuricans_A,2,Fg,3
Met5732_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__Parabacteroides distasonis,2,Ic,3
Met5735_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter_A,s__,15,N,3
Met5737_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella brunnea,15,An,3
Met5738_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae,g__Ezakiella,s__Ezakiella massiliensis,5,Tw,3
Met5739_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__Eggerthella,s__Eggerthella lenta,5,Fg,3
Met5740_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas,s__Stenotrophomonas maltophilia_B,5,Ic,3
Met5748_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae,g__Anaerococcus,s__,4,Fg,3
Met5749_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Proteus,s__Proteus mirabilis,4,An,3
Met5750_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Desulfobacterota_I,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,s__Desulfovibrio desulfuricans_A,4,Ic,3
Met5752_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides uniformis,54,Fg,1
Met5753_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Providencia,s__Providencia stuartii,54,Ic,1
Met5759_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Clostridium_AQ,s__Clostridium_AQ sp000165065,17,An,1
Met5761_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus simulans,17,Tw,1
Met5762_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Providencia,s__Providencia stuartii,31,Fg,1
Met5763_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Serratia,s__Serratia marcescens_K,31,N,1
Met5766_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas aeruginosa,13,Ic,1
Met5769_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonella_A,s__Veillonella_A sp018364065,25,An,1
Met5774_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus epidermidis,33,Tw,1
Met5778_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Providencia,s__Providencia stuartii,40,An,1
Met5780_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__Corynebacterium aurimucosum_E,40,Tw,1
Met5781_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Akkermansiaceae,g__Akkermansia,s__Akkermansia muciniphila_B,34,An,1
Met5782_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Longicatena,s__Longicatena caecimuris,34,Ic,1
Met5784_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus pettenkoferi,16,Tw,1
Met5787_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Morganella,s__Morganella morganii,11,An,1
Met5788_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter baumannii,11,Ic,1
Met5789_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Providencia,s__Providencia stuartii,27,An,1
Met5791_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides fragilis,27,Ic,1
Met5795_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus epidermidis,3,Fg,1
Met5796_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__S5-A14a,s__S5-A14a sp000758905,3,Ic,1
Met5800_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__Corynebacterium urealyticum,26,Ic,1
Met5802_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Akkermansiaceae,g__Akkermansia,s__Akkermansia sp001580195,18,An,1
Met5803_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Aerococcus,s__,18,Fg,1
Met5804_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Bifidobacteriaceae,g__Bifidobacterium,s__Bifidobacterium breve,18,Ic,1
Met5808_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__Corynebacterium aurimucosum_E,52,Tw,1
Met5809_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Scatomorpha,s__Scatomorpha gallistercoris,38,An,1
Met5812_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia coli,41,An,1
Met5815_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes onderdonkii,54,An,2
Met6291_refinement_out_metawrap_50_10_bins_bin.6,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Achromobacter,s__Achromobacter xylosoxidans,33,N,2
Met7486_refinement_outMetawrap_50_10_bins_bin.6,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Atopobium,s__Atopobium deltae,15,N,1
Met7489_refinement_outMetawrap_50_10_bins_bin.6,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella brunnea,23,Ax,2
Met7491_refinement_outMetawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Ruthenibacterium,s__Ruthenibacterium lactatiformans,27,An,3
Met7494_refinement_outMetawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Coprobacillaceae,g__Erysipelatoclostridium,s__Erysipelatoclostridium ramosum,27,Ic,3
Met7498_refinement_outMetawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Anaerostipes,s__Anaerostipes caccae,31,An,1
Met7499_refinement_outMetawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Clostridium_A,s__Clostridium_A leptum,31,An,2
Met7503_refinement_outMetawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Aerococcus,s__,31,Tw,1
Met7504_refinement_outMetawrap_50_10_bins_bin.6,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Gleimia,s__Gleimia hominis,31,Tw,2
Met7505_refinement_outMetawrap_50_10_bins_bin.6,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Aerococcus,s__,31,Tw,3
Met4826_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas aeruginosa,53,Ea,2
Met4827_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Mediterraneibacter,s__Mediterraneibacter torques,53,Ic,2
Met4841_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Providencia,s__Providencia stuartii,23,Ic,2
Met4849_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae,g__Anaerococcus,s__,46,Fg,2
Met4853_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__Parabacteroides merdae,28,Ic,2
Met4854_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Enterocloster,s__Enterocloster bolteae,28,An,2
Met4858_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Providencia,s__Providencia stuartii,28,N,3
Met4860_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__Parabacteroides distasonis,28,Ic,3
Met4861_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides fragilis,28,An,3
Met4862_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,28,Tw,3
Met4863_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus simulans,28,Fg,3
Met4866_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae,g__Anaerococcus,s__,23,Ea,3
Met4880_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Klebsiella,s__Klebsiella pneumoniae,46,An,3
Met5657_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonella_A,s__Veillonella_A seminalis,2,Ic,1
Met5658_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides stercoris,2,An,1
Met5660_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas_A,s__Porphyromonas_A bennonis,2,Fg,1
Met5666_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Micrococcaceae,g__Pseudoglutamicibacter,s__Pseudoglutamicibacter cumminsii_A,28,Fg,1
Met5668_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__Parabacteroides distasonis,28,Ic,1
Met5669_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Serratia,s__Serratia marcescens_K,28,N,1
Met5674_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Morganella,s__Morganella morganii,4,An,1
Met5678_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Proteus,s__Proteus mirabilis,48,An,1
Met5686_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A,s__Blautia_A sp900551465,15,Ic,1
Met5687_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__,15,An,1
Met5688_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae,g__Anaerococcus,s__Anaerococcus octavius,35,Fg,1
Met5689_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia,s__Blautia coccoides,35,An,1
Met5694_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__Fimisoma,s__Fimisoma sp000435715,23,Ic,1
Met5696_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Morganella,s__Morganella morganii,23,An,1
Met5703_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Propionibacteriales,f__Propionibacteriaceae,g__Cutibacterium,s__Cutibacterium acnes,5,N,2
Met5704_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Synergistota,c__Synergistia,o__Synergistales,f__Dethiosulfovibrionaceae,g__Jonquetella,s__Jonquetella anthropi,5,Ic,2
Met5705_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae,g__Ezakiella,s__Ezakiella massiliensis,5,Fg,2
Met5706_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus hominis,5,An,2
Met5714_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Bulleidia,s__Bulleidia moorei,15,An,2
Met5715_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes onderdonkii,15,Ic,2
Met5717_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Fannyhessea,s__Fannyhessea vaginae,15,N,2
Met5718_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Longicatena,s__Longicatena caecimuris,2,An,2
Met5720_refinement_out_metawrap_50_10_bins_bin.7,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae,g__Levyella,s__Levyella massiliensis,2,Fg,2
